Name,Description,EmailId
FGR369_RW,FGR369_RW,,
FGR998_RO,FGR998_RO,,
FGR998_RW,FGR998_RW,,
FGR999_RO,FGR999_RO,,
FGR999_RW,FGR999_RW,,
FGRCMP_RO,FGRCMP_RO,,
FGRCMP_RW,FGRCMP_RW,,
FIN_AP,Finance AP,,
FIN_AP_RW,FIN_AP_RW,,
FIN_AP2,Finance AP2,,
FIN_AR,Finance AR,,
FIN_AR2,Finance AR2,,
FIN_GL,FInance GL,,
FIN_GL2,Finance GL2,,
FINBKRW,BANK,,
FOAUDRO,*AUDITOR,,
FSR_ADMIN,ADMIN,,
FSR_DIVFIN,DIVFIN,,
FSR_FINGL,FINGL,,
FSR_FINMRO,FINMRO,,
FSR_MGMT,MGMT,,
FSR_MROENG,MROENG,,
FSR_MROILS,MROILS,,
FSR_OVEX,OVEX,,
FSR_TAX,TAX,,
GLADMRW,*ADMIN,,
GLAUDRO,*AUDITOR,,
GLDIVRO,*DIVFIN,,
GLDIVRW,*DIVFIN,,
GLFINRO,*FINAPARG2,,
GLFINRW,*FINAPARG2,,
GLMGMRO,*MGMT,,
GLMRORO,*MRODIVFIN,,
GLMRORW,*MRODIVFIN,,
GLTAXRO,*TAX,,
IBAUDRO,*AUDITOR,,
IBDIVRW,*DIVFIN,,
IBFINRO,*FINAPARG2,,
IBFINRW,*FINAPARG2,,
IBMGMRO,*MGMT,,
IBMRORW,*MRODIVFIN,,
IBTAXRO,*TAX,,
JSAUDRO,*AUDITOR,,
M3_FEATADM,M3_FEATADM,,
M3A Rental,M3A Rental,,
M3A Sales,M3A Sales,,
M3BDP-User,M3BDP-User,,
M3MDP-User,M3MDP-User,,
M3UI-User,Can access the M3 User Interface,,
MCAUDRO,*AUDITOR,,
MFAUDRO,*AUDITOR,,
MFFINRO,*FINAPARG2,,
MFFINRW,*FINSUPUSR,,
MFMRORO,*MRODIVFIN,,
MFMRORW,*MRODIVFIN,,
MMAUDRO,*AUDITOR,,
MMFINRW,*FINMRO,,
MMMRORO,*MRODIVFIN,,
MMMRORW,*MRODIVFIN,,
MNADMRW,*ADMIN,,
MNAUDRO,*AUDITOR,,
